system:index,Annual_rai,Aspect_Mad,DEM_Mada_R,Dist_sett,GFW_defory,JRC_defory,JRC_degrady,MERGE_SRC,Slope_Mada,X,Y,dist_defor,dist_edge_,dist_river,dist_route,dist_track,popdens_ma,pressure_s,treated_An,treated_CF,treated_CZ,treated_TT,treeloss19,unique_id,.geo
000000000000000013d2_000000000000000013d2_0_000000000000000013d2_0_000000000000000013d2_0,1714.0,55.0079803467,997.0,3677.29516602,2023,2023,0,CFAM3,5.80822324753,858555.0,7915665.0,1070.79406738,283.0,5406.16308594,7844.01025391,920.271728516,0.0175425671041,44915.25,0,31967,0,0,0.0,sample_72,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013d3_000000000000000013d3_0_000000000000000013d3_0_000000000000000013d3_0,1714.0,261.869903564,1001.0,3542.03320313,2015,0,2015,CFAM3,10.0249881744,858705.0,7915665.0,1207.84936523,175.0,5443.90478516,7758.93017578,1056.83483887,0.0169781316072,44900.015625,0,31968,0,0,15.0,sample_73,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013bc_000000000000000013bc_0_000000000000000013bc_0_000000000000000013bc_0,1699.0,288.434936523,1003.0,4148.79492188,2016,2016,0,CFAM3,8.98487663269,858105.0,7915815.0,647.611022949,85.0,5160.08740234,8161.15820313,445.982055664,0.0184226837009,45006.3554688,0,32378,0,0,16.0,sample_87,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013bd_000000000000000013bd_0_000000000000000013bd_0_000000000000000013bd_0,1699.0,289.440032959,1038.0,4012.60522461,2015,2020,2015,CFAM3,8.54372596741,858255.0,7915815.0,794.292114258,218.0,5190.08691406,8099.44433594,589.406494141,0.0182128064334,44988.4921875,0,32379,0,0,15.0,sample_88,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013be_000000000000000013be_0_000000000000000013be_0_000000000000000013be_0,1714.0,7.43140745163,1014.0,3877.43481445,2016,0,2015,CFAM3,10.9398050308,858405.0,7915815.0,942.019104004,242.0,5224.22265625,8040.05615234,725.603210449,0.0176202170551,44954.2421875,0,32380,0,0,15.0,sample_89,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013ac_000000000000000013ac_0_000000000000000013ac_0_000000000000000013ac_0,1699.0,253.072494507,1000.0,4212.83740234,2021,2021,2016,CFAM3,11.329044342,858105.0,7915965.0,697.782226563,108.0,5012.78369141,8297.58984375,391.152130127,0.0184827987105,45021.1640625,0,32792,0,0,0.0,sample_105,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013ae_000000000000000013ae_0_000000000000000013ae_0_000000000000000013ae_0,1714.0,119.744880676,1023.0,3945.8840332,2023,2023,0,CFAM3,7.65304899216,858405.0,7915965.0,977.189819336,95.0,5078.77929688,8170.25097656,642.028015137,0.0164561234415,44967.9140625,0,32794,0,0,0.0,sample_107,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013af_000000000000000013af_0_000000000000000013af_0_000000000000000013af_0,1714.0,88.3634262085,995.0,3814.24951172,2023,2023,0,CFAM3,8.30048370361,858555.0,7915965.0,1120.89245605,175.0,5115.33007813,8042.29443359,766.615966797,0.0164895262569,44934.8476563,0,32795,0,0,0.0,sample_108,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000139c_0000000000000000139c_0_0000000000000000139c_0_0000000000000000139c_0,1699.0,47.0454063416,993.0,4414.18164063,2023,2023,0,CFAM3,9.37478256226,857955.0,7916115.0,657.95135498,67.0,4838.28466797,8496.41113281,189.736663818,0.0176793076098,45074.0585938,0,33205,0,0,0.0,sample_120,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000139e_0000000000000000139e_0_0000000000000000139e_0_0000000000000000139e_0,1699.0,318.731384277,1015.0,4149.33740234,2015,2020,2015,CFAM3,15.1967687607,858255.0,7916115.0,900.49987793,90.0,4897.44824219,8374.78320313,432.666168213,0.0162834040821,45016.7304688,0,33207,0,0,15.0,sample_122,"{""type"":""MultiPoint"",""coordinates"":[]}"
